"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","","3","0","Create new object","0"
"0","","0","","1","0","Delete object","0"
"0","","0","","1","0","Get object id","0"
"0","","0","","1","0","Get object","0"
"0","","0","","2","0","Change object","0"
