"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","143","Create object with parameters: kola, blue, mini","","2025-11-15","passed","2025-11-15","","test_homework20_pytest","",""
"","191","test_delete_object","","2025-11-15","passed","2025-11-15","","test_homework20_pytest","",""
"","160","Create object with parameters: viktor, green, medium","","2025-11-15","passed","2025-11-15","","test_homework20_pytest","",""
"","159","Get a list of objects by id","","2025-11-15","passed","2025-11-15","","test_homework20_pytest","",""
"","339","Get list of all object","","2025-11-15","passed","2025-11-15","","test_homework20_pytest","",""
"","175","test_put_object","","2025-11-15","passed","2025-11-15","","test_homework20_pytest","",""
"","144","Create object with parameters: oleg, red, large","","2025-11-15","passed","2025-11-15","","test_homework20_pytest","",""
"","157","test_patch_object","","2025-11-15","passed","2025-11-15","","test_homework20_pytest","",""
